Category ,,,,,,,,,,,
About,,,,,,,,,,,"Based in New Zealand, my background is in painting, and my day job is in art education, with a teaching focus on a foundational approach to linear perspective. While studio drafting can often be a methodical process, photography, like plein air painting, is highly reactive. We’re presented with fleeting windows of changing light and movement, and we must decide what to do with them very quickly. The immediacy is what makes it so exciting to me. 

Because of my formal artistic training, I often compose my photos with painting (and painters) in mind. This comes down to the way I expose, play with colour and tonality, and treat scale and perspective through my experiments of compositing multiple telephoto exposures into a single image.

My inspirations include George Inness, William Trost Richards, John Singer Sargent, Albert Bierstadt and the Hudson River School artists, as well as the large format cinematography of Ron Fricke, and of course, Ansel Adams. 

Peter Henderson"
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_15.webp,MountAspiring_15_1.webp,,,0R 0,,Mount Aspiring National Park
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_16.webp,MountAspiring_16_1.webp,,,0R 0,,Mount Aspiring National Park
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_17.webp,MountAspiring_17_1.webp,,,0R 0,,Mount Aspiring National Park
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_19.webp,MountAspiring_19_1.webp,,,0R 0,,Mount Aspiring National Park
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_20.webp,MountAspiring_20_1.webp,,,0R 0,,Mount Aspiring National Park
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_21.webp,MountAspiring_21_1.webp,,,0R 0,,Mount Aspiring National Park
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_22.webp,MountAspiring_22_1.webp,,,0R 0,,Mount Aspiring National Park
Landscape,Aotearoa New Zealand,South Island,Mount Aspiring National Park,Mount Aspiring National Park,Tititea,MountAspiring_23.webp,MountAspiring_23_1.webp,,,-15,,Mount Aspiring National Park
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_3.webp,Fiordland_3_1.webp,,,0R 0,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_23.webp,Fiordland_23_1.webp,,,-10,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_24.webp,Fiordland_24_1.webp,,,0R 0,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_25.webp,Fiordland_25_1.webp,,,-10,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_5.webp,Fiordland_5_1.webp,,,-10,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_4.webp,Fiordland_4_1.webp,,,0R 0,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_1.webp,Fiordland_1_1.webp,,,0R 0,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_2.webp,Fiordland_2_1.webp,,,0R 0,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_6.webp,Fiordland_6_1.webp,,,0R 0,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_21.webp,Fiordland_21.webp,,,0R 0,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_22.webp,Fiordland_22_1.webp,,,0R 0,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_20.webp,Fiordland_20_1.webp,,,0R 0,,"Routeburn Track, Fiordland "
